,KEY,lot_item_code,lot_cost,lot_date,lot_count,lot_po,lot_count
IN1869S|43253,IN1869S|307890|4,IN1869S,4,2018-06-02,2,307890,2
IN1869S|43255,IN1869S|308178|4,IN1869S,4,2018-06-04,2,308178,2
IN1869S|43272,IN1869S|310821|4,IN1869S,4,2018-06-21,1,310821,1
IN1869S-G|43190,IN1869S-G|292589C|0,IN1869S-G,0,2018-03-31,1,292589C,1
IN1869S-G|43252,IN1869S-G|307840|4,IN1869S-G,4,2018-06-01,5,307840,5
IN1869S-G|43253,IN1869S-G|307890|4,IN1869S-G,4,2018-06-02,1,307890,1
IN1869S-G|43255,IN1869S-G|308178|4,IN1869S-G,4,2018-06-04,2,308178,2
IN1870S|43190,IN1870S|292589C|0,IN1870S,0,2018-03-31,1,292589C,1
IN1870S|43454,IN1870S|342752|1.41,IN1870S,1.41,2018-12-20,1,342752,1
IN1870S|43272,IN1870S|310818-A|1.65,IN1870S,1.65,2018-06-21,5,310818-A,5
IN1870S|43430,IN1870S|337104|1.78,IN1870S,1.78,2018-11-26,2,337104,2
IN1870S|43431,IN1870S|337864-B|1.78,IN1870S,1.78,2018-11-27,2,337864-B,2
IN1870S|43268,IN1870S|310062|2.2,IN1870S,2.2,2018-06-17,3,310062,3
IN1870S|43269,IN1870S|310120|2.2,IN1870S,2.2,2018-06-18,5,310120,5
IN1870S|43430,IN1870S|337063|2.55,IN1870S,2.55,2018-11-26,2,337063,2
IN1870S|43430,IN1870S|337150|2.55,IN1870S,2.55,2018-11-26,1,337150,1
IN1870S|43430,IN1870S|337150|2.55,IN1870S,2.55,2018-11-26,1,337150,1
IN1870S|43431,IN1870S|337786|2.55,IN1870S,2.55,2018-11-27,1,337786,1
IN1870S|43432,IN1870S|338009|2.55,IN1870S,2.55,2018-11-28,2,338009,2
IN1870S|43460,IN1870S|343387|2.55,IN1870S,2.55,2018-12-26,1,343387,1
IN1870S|43526,IN1870S|354319|2.55,IN1870S,2.55,2019-03-02,5,354319,5
IN1870S|43252,IN1870S|307840|4,IN1870S,4,2018-06-01,3,307840,3
IN1870S|43252,IN1870S|307840|4,IN1870S,4,2018-06-01,5,307840,5
IN1870S|43253,IN1870S|307890|4,IN1870S,4,2018-06-02,4,307890,4
IN1870S|43255,IN1870S|308178|4,IN1870S,4,2018-06-04,2,308178,2
IN1870S-G|43190,IN1870S-G|292589C|0,IN1870S-G,0,2018-03-31,1,292589C,1
IN1870S-G|43252,IN1870S-G|307840|4,IN1870S-G,4,2018-06-01,5,307840,5
IN1870S-G|43253,IN1870S-G|307890|4,IN1870S-G,4,2018-06-02,4,307890,4
IN1870S-G|43255,IN1870S-G|308178|4,IN1870S-G,4,2018-06-04,2,308178,2
IN1870S-G|43272,IN1870S-G|310821|4,IN1870S-G,4,2018-06-21,2,310821,2
IN1871S|43454,IN1871S|342752|0.79,IN1871S,0.79,2018-12-20,1,342752,1
IN1871S|43430,IN1871S|337104|1,IN1871S,1,2018-11-26,4,337104,4
IN1871S|43431,IN1871S|337864-B|1,IN1871S,1,2018-11-27,2,337864-B,2
IN1871S|43430,IN1871S|337063|1.43,IN1871S,1.43,2018-11-26,3,337063,3
IN1871S|43430,IN1871S|337150|1.43,IN1871S,1.43,2018-11-26,2,337150,2
IN1871S|43431,IN1871S|337786|1.43,IN1871S,1.43,2018-11-27,1,337786,1
IN1871S|43432,IN1871S|338009|1.43,IN1871S,1.43,2018-11-28,3,338009,3
IN1871S|43252,IN1871S|307840|4,IN1871S,4,2018-06-01,8,307840,8
IN1871S|43253,IN1871S|307890|4,IN1871S,4,2018-06-02,1,307890,1
IN1871S-G|43190,IN1871S-G|292589C|0,IN1871S-G,0,2018-03-31,1,292589C,1
IN1871S-G|43245,IN1871S-G|305769|0,IN1871S-G,0,2018-05-25,5,305769,5
IN1871S-G|43245,IN1871S-G|305769|2,IN1871S-G,2,2018-05-25,20,305769,20
IN1872S|43190,IN1872S|292589C|0,IN1872S,0,2018-03-31,1,292589C,1
IN1872S|43392,IN1872S|329652|1,IN1872S,1,2018-10-19,10,329652,10
IN1872S|43395,IN1872S|330380|1,IN1872S,1,2018-10-22,10,330380,10
IN1872S|43252,IN1872S|307840|4,IN1872S,4,2018-06-01,10,307840,10
IN1872S|43253,IN1872S|307890|4,IN1872S,4,2018-06-02,1,307890,1
IN1872S|43255,IN1872S|308178|4,IN1872S,4,2018-06-04,2,308178,2
IN1872S|43257,IN1872S|308516|4,IN1872S,4,2018-06-06,5,308516,5
IN1872S|43272,IN1872S|310821|4,IN1872S,4,2018-06-21,1,310821,1
IN1872S-G|43190,IN1872S-G|292589C|0,IN1872S-G,0,2018-03-31,1,292589C,1
IN1872S-G|43252,IN1872S-G|307840|4,IN1872S-G,4,2018-06-01,8,307840,8
IN1872S-G|43253,IN1872S-G|307890|4,IN1872S-G,4,2018-06-02,1,307890,1
IN1872S-G|43255,IN1872S-G|308178|4,IN1872S-G,4,2018-06-04,2,308178,2
IN1873S|43190,IN1873S|292589D|0,IN1873S,0,2018-03-31,1,292589D,1
IN1873S|43454,IN1873S|342752|0.52,IN1873S,0.52,2018-12-20,1,342752,1
IN1873S|43430,IN1873S|337104|0.65,IN1873S,0.65,2018-11-26,2,337104,2
IN1873S|43431,IN1873S|337864-B|0.65,IN1873S,0.65,2018-11-27,2,337864-B,2
IN1873S|43430,IN1873S|337063|0.93,IN1873S,0.93,2018-11-26,2,337063,2
IN1873S|43430,IN1873S|337150|0.93,IN1873S,0.93,2018-11-26,1,337150,1
IN1873S|43430,IN1873S|337150|0.93,IN1873S,0.93,2018-11-26,1,337150,1
IN1873S|43431,IN1873S|337786|0.93,IN1873S,0.93,2018-11-27,1,337786,1
IN1873S|43432,IN1873S|338009|0.93,IN1873S,0.93,2018-11-28,2,338009,2
IN1873S|43460,IN1873S|343387|0.93,IN1873S,0.93,2018-12-26,1,343387,1
IN1873S|43526,IN1873S|354319|0.93,IN1873S,0.93,2019-03-02,5,354319,5
IN1873S|43252,IN1873S|307840|4,IN1873S,4,2018-06-01,8,307840,8
IN1873S|43255,IN1873S|308178|4,IN1873S,4,2018-06-04,2,308178,2
IN1873S-G|43190,IN1873S-G|292589D|0,IN1873S-G,0,2018-03-31,1,292589D,1
IN1873S-G|43460,IN1873S-G|343387|0.64,IN1873S-G,0.64,2018-12-26,1,343387,1
IN1873S-G|43430,IN1873S-G|337104|0.89,IN1873S-G,0.89,2018-11-26,1,337104,1
IN1873S-G|43431,IN1873S-G|337864-B|0.89,IN1873S-G,0.89,2018-11-27,1,337864-B,1
IN1873S-G|43252,IN1873S-G|307840|4,IN1873S-G,4,2018-06-01,5,307840,5
IN1873S-G|43253,IN1873S-G|307890|4,IN1873S-G,4,2018-06-02,1,307890,1
IN1873S-G|43255,IN1873S-G|308178|4,IN1873S-G,4,2018-06-04,2,308178,2
IN1874S|43190,IN1874S|292589D|0,IN1874S,0,2018-03-31,1,292589D,1
IN1874S|43252,IN1874S|307840|4,IN1874S,4,2018-06-01,8,307840,8
IN1874S|43253,IN1874S|307890|4,IN1874S,4,2018-06-02,1,307890,1
IN1874S|43255,IN1874S|308178|4,IN1874S,4,2018-06-04,2,308178,2
IN1874S|43244,IN1874S|305440|7.99,IN1874S,7.99,2018-05-24,3,305440,3
IN1874S-G|43190,IN1874S-G|292589D|0,IN1874S-G,0,2018-03-31,1,292589D,1
IN1874S-G|43460,IN1874S-G|343387|0.64,IN1874S-G,0.64,2018-12-26,1,343387,1
IN1874S-G|43430,IN1874S-G|337104|0.89,IN1874S-G,0.89,2018-11-26,1,337104,1
IN1874S-G|43431,IN1874S-G|337864-B|0.89,IN1874S-G,0.89,2018-11-27,1,337864-B,1
IN1874S-G|43252,IN1874S-G|307840|4,IN1874S-G,4,2018-06-01,6,307840,6
IN1874S-G|43253,IN1874S-G|307890|4,IN1874S-G,4,2018-06-02,1,307890,1
IN1874S-G|43255,IN1874S-G|308178|4,IN1874S-G,4,2018-06-04,2,308178,2
IN1875S|43190,IN1875S|292589D|0,IN1875S,0,2018-03-31,1,292589D,1
IN1875S|43454,IN1875S|342752|0.52,IN1875S,0.52,2018-12-20,1,342752,1
IN1875S|43430,IN1875S|337104|0.65,IN1875S,0.65,2018-11-26,2,337104,2
IN1875S|43431,IN1875S|337864-B|0.65,IN1875S,0.65,2018-11-27,2,337864-B,2
IN1875S|43430,IN1875S|337063|0.93,IN1875S,0.93,2018-11-26,2,337063,2
IN1875S|43430,IN1875S|337150|0.93,IN1875S,0.93,2018-11-26,1,337150,1
IN1875S|43430,IN1875S|337150|0.93,IN1875S,0.93,2018-11-26,1,337150,1
IN1875S|43431,IN1875S|337786|0.93,IN1875S,0.93,2018-11-27,1,337786,1
IN1875S|43432,IN1875S|338009|0.93,IN1875S,0.93,2018-11-28,2,338009,2
IN1875S|43460,IN1875S|343387|0.93,IN1875S,0.93,2018-12-26,1,343387,1
IN1875S|43526,IN1875S|354319|0.93,IN1875S,0.93,2019-03-02,5,354319,5
IN1875S|43252,IN1875S|307840|4,IN1875S,4,2018-06-01,8,307840,8
IN1875S|43253,IN1875S|307890|4,IN1875S,4,2018-06-02,1,307890,1
IN1875S-G|43190,IN1875S-G|292589D|0,IN1875S-G,0,2018-03-31,1,292589D,1
IN1875S-G|43252,IN1875S-G|307840|4,IN1875S-G,4,2018-06-01,5,307840,5
IN1875S-G|43253,IN1875S-G|307890|4,IN1875S-G,4,2018-06-02,1,307890,1
IN1877S|43460,IN1877S|343538-Rest|1.75,IN1877S,1.75,2018-12-26,10,343538-Rest,10
IN1877S|43465,IN1877S|344612|2.5,IN1877S,2.5,2018-12-31,1,344612,1
IN1877S|43148,IN1877S|282954|5.94,IN1877S,5.94,2018-02-17,1,282954,1
IN1878S|43431,IN1878S|337864-A|3.5,IN1878S,3.5,2018-11-27,1,337864-A,1
IN1878S|43148,IN1878S|282954|5.24,IN1878S,5.24,2018-02-17,3,282954,3
IN1878S|43150,IN1878S|283256|5.24,IN1878S,5.24,2018-02-19,2,283256,2
IN1878S|43163,IN1878S|286266-C|5.24,IN1878S,5.24,2018-03-04,1,286266-C,1
IN1878S|43182,IN1878S|290600-B|5.24,IN1878S,5.24,2018-03-23,1,290600-B,1
IN1880S|43199,IN1880S|299092|0,IN1880S,0,2018-04-09,1,299092,1
IN1880S|43431,IN1880S|337864-A|3.5,IN1880S,3.5,2018-11-27,1,337864-A,1
IN1880S|43199,IN1880S|299092|7.99,IN1880S,7.99,2018-04-09,4,299092,4
IN1881S|43460,IN1881S|343387|2.5,IN1881S,2.5,2018-12-26,5,343387,5
IN1883S|43148,IN1883S|282954|5.24,IN1883S,5.24,2018-02-17,2,282954,2
IN1885S|43339,IN1885S|321426|2.5,IN1885S,2.5,2018-08-27,1,321426,1
IN1887S|43182,IN1887S|290600-B|5.24,IN1887S,5.24,2018-03-23,1,290600-B,1
IN1888S|43182,IN1888S|290600-B|5.24,IN1888S,5.24,2018-03-23,3,290600-B,3
IN1896S|43339,IN1896S|321426|5,IN1896S,5,2018-08-27,5,321426,5
IN1897S|43182,IN1897S|290600-B|5.94,IN1897S,5.94,2018-03-23,1,290600-B,1
IN1898S|43148,IN1898S|282954|5.24,IN1898S,5.24,2018-02-17,3,282954,3
IN1899S|43339,IN1899S|321426|2.5,IN1899S,2.5,2018-08-27,2,321426,2
IN1899S|43150,IN1899S|283256|5.94,IN1899S,5.94,2018-02-19,1,283256,1
IN1904S|43430,IN1904S|337104-B|1.75,IN1904S,1.75,2018-11-26,1,337104-B,1
IN1919S|43178,IN1919S|289713|3.5,IN1919S,3.5,2018-03-19,1,289713,1
IN1919S|43182,IN1919S|290600-B|3.5,IN1919S,3.5,2018-03-23,6,290600-B,6
IN1929S|43151,IN1929S|JD20180220|2.43,IN1929S,2.43,2018-02-20,1,JD20180220,1
IN1937S|43146,IN1937S|282441|3.5,IN1937S,3.5,2018-02-15,3,282441,3
IN1938S|43146,IN1938S|282441|3.5,IN1938S,3.5,2018-02-15,4,282441,4
IN1939S|43339,IN1939S|321426|2.5,IN1939S,2.5,2018-08-27,2,321426,2
IN1939S|43146,IN1939S|282441|3.5,IN1939S,3.5,2018-02-15,6,282441,6
IN1940S|43163,IN1940S|286266-C|3.5,IN1940S,3.5,2018-03-04,1,286266-C,1
IN1942S|43431,IN1942S|337864-A|3.5,IN1942S,3.5,2018-11-27,1,337864-A,1
IN1942S|43148,IN1942S|282954|5.24,IN1942S,5.24,2018-02-17,3,282954,3
IN1942S|43150,IN1942S|283256|5.24,IN1942S,5.24,2018-02-19,2,283256,2
IN1942S|43182,IN1942S|290600-B|5.24,IN1942S,5.24,2018-03-23,1,290600-B,1
IN1943S|43339,IN1943S|321426|5,IN1943S,5,2018-08-27,3,321426,3
IN1947S|43178,IN1947S|289713|3.5,IN1947S,3.5,2018-03-19,10,289713,10
IN1947S|43182,IN1947S|290600-B|3.5,IN1947S,3.5,2018-03-23,3,290600-B,3
IN1948S|43182,IN1948S|290600-B|3.5,IN1948S,3.5,2018-03-23,3,290600-B,3
IN1949S|43182,IN1949S|290600-B|3.5,IN1949S,3.5,2018-03-23,2,290600-B,2
IN1959S|43190,IN1959S|292582|5.24,IN1959S,5.24,2018-03-31,2,292582,2
IN1960S|43431,IN1960S|337864-A|1.75,IN1960S,1.75,2018-11-27,5,337864-A,5
IN1960S|43146,IN1960S|282441|3.5,IN1960S,3.5,2018-02-15,4,282441,4
IN1960S|43115,IN1960S|276456|5.24,IN1960S,5.24,2018-01-15,6,276456,6
IN1961S|43412,IN1961S|333177|2.5,IN1961S,2.5,2018-11-08,1,333177,1
IN1961S|43460,IN1961S|343387|2.5,IN1961S,2.5,2018-12-26,5,343387,5
IN1962S|43339,IN1962S|321426|2.5,IN1962S,2.5,2018-08-27,2,321426,2
IN1970S|43431,IN1970S|337864-A|1.75,IN1970S,1.75,2018-11-27,5,337864-A,5
IN1970S|43420,IN1970S|334640|2.5,IN1970S,2.5,2018-11-16,4,334640,4
IN1970S|43146,IN1970S|282441|3.5,IN1970S,3.5,2018-02-15,4,282441,4
IN1971S|43431,IN1971S|337864-B|1.75,IN1971S,1.75,2018-11-27,4,337864-B,4
IN1972S|43431,IN1972S|337864-A|1.75,IN1972S,1.75,2018-11-27,4,337864-A,4
IN1972S|43420,IN1972S|334640|2.5,IN1972S,2.5,2018-11-16,2,334640,2
IN1972S|43446,IN1972S|341236|2.5,IN1972S,2.5,2018-12-12,1,341236,1
IN1972S|43146,IN1972S|282441|3.5,IN1972S,3.5,2018-02-15,4,282441,4
IN1973S|43430,IN1973S|337104|1.75,IN1973S,1.75,2018-11-26,5,337104,5
IN1973S|43431,IN1973S|337864-A|1.75,IN1973S,1.75,2018-11-27,4,337864-A,4
IN1973S|43420,IN1973S|334640|2.5,IN1973S,2.5,2018-11-16,1,334640,1
IN1973S|43446,IN1973S|341236|2.5,IN1973S,2.5,2018-12-12,1,341236,1
IN1986S|43446,IN1986S|341236|2.5,IN1986S,2.5,2018-12-12,3,341236,3
IN1988S|43146,IN1988S|282442|5.94,IN1988S,5.94,2018-02-15,4,282442,4
IN1989S|43146,IN1989S|282442|5.94,IN1989S,5.94,2018-02-15,4,282442,4
IN1993S|43460,IN1993S|343538-Rest|1.75,IN1993S,1.75,2018-12-26,10,343538-Rest,10
IN1993S|43465,IN1993S|344612|2.5,IN1993S,2.5,2018-12-31,2,344612,2
IN1995S|43339,IN1995S|321426|5,IN1995S,5,2018-08-27,2,321426,2
IN1996S|43178,IN1996S|289713|3.5,IN1996S,3.5,2018-03-19,1,289713,1
IN1998S|43446,IN1998S|341236|2.5,IN1998S,2.5,2018-12-12,2,341236,2
IN2003S|43412,IN2003S|333177|5,IN2003S,5,2018-11-08,1,333177,1
IN2004S|43339,IN2004S|321426|5,IN2004S,5,2018-08-27,2,321426,2
IN2005S|43339,IN2005S|321426|5,IN2005S,5,2018-08-27,2,321426,2
IN2006S|43343,IN2006S|322045|5,IN2006S,5,2018-08-31,2,322045,2
IN2007S|43339,IN2007S|321426|5,IN2007S,5,2018-08-27,1,321426,1
IN2008S|43339,IN2008S|321426|5,IN2008S,5,2018-08-27,1,321426,1
IN2010S|43343,IN2010S|322045|5,IN2010S,5,2018-08-31,1,322045,1
IN2011S|43431,IN2011S|337864-B|1.56,IN2011S,1.56,2018-11-27,1,337864-B,1
IN2011S|43454,IN2011S|342752|1.76,IN2011S,1.76,2018-12-20,1,342752,1
IN2011S|43427,IN2011S|336482|2.22,IN2011S,2.22,2018-11-23,1,336482,1
IN2011S|43428,IN2011S|336677|2.22,IN2011S,2.22,2018-11-24,1,336677,1
IN2011S|43432,IN2011S|338009|2.22,IN2011S,2.22,2018-11-28,1,338009,1
IN2011S|43460,IN2011S|343387|2.22,IN2011S,2.22,2018-12-26,1,343387,1
IN2011S|43526,IN2011S|354319|2.22,IN2011S,2.22,2019-03-02,3,354319,3
IN2011S|43148,IN2011S|282954|6.74,IN2011S,6.74,2018-02-17,1,282954,1
IN2011S-G|43430,IN2011S-G|337104-B|1.75,IN2011S-G,1.75,2018-11-26,1,337104-B,1
IN2012S|43430,IN2012S|337104-B|1.75,IN2012S,1.75,2018-11-26,1,337104-B,1
IN2012S|43431,IN2012S|337864-B|1.75,IN2012S,1.75,2018-11-27,2,337864-B,2
IN2012S|43160,IN2012S|285687-C|4.5,IN2012S,4.5,2018-03-01,1,285687-C,1
IN2012S|43163,IN2012S|286266-C|4.5,IN2012S,4.5,2018-03-04,2,286266-C,2
IN2012S|43182,IN2012S|290600-C|4.5,IN2012S,4.5,2018-03-23,2,290600-C,2
IN2012S|43190,IN2012S|292582|4.5,IN2012S,4.5,2018-03-31,1,292582,1
IN2012S-G|43160,IN2012S-G|285687-C|4.5,IN2012S-G,4.5,2018-03-01,1,285687-C,1
IN2012S-G|43190,IN2012S-G|292582|4.5,IN2012S-G,4.5,2018-03-31,2,292582,2
IN2013S|43339,IN2013S|321426|5,IN2013S,5,2018-08-27,1,321426,1
IN2015S|43343,IN2015S|322048|5,IN2015S,5,2018-08-31,5,322048,5
IN2015S|43343,IN2015S|322045|5,IN2015S,5,2018-08-31,1,322045,1
IN2015S|43371,IN2015S|326432|5,IN2015S,5,2018-09-28,4,326432,4
IN2019S|43160,IN2019S|285687-C|1.75,IN2019S,1.75,2018-03-01,2,285687-C,2
IN2019S|43163,IN2019S|286266-C|1.75,IN2019S,1.75,2018-03-04,2,286266-C,2
IN2019S|43182,IN2019S|290600-B|1.75,IN2019S,1.75,2018-03-23,4,290600-B,4
IN2019S-G|43160,IN2019S-G|285687-C|1.75,IN2019S-G,1.75,2018-03-01,1,285687-C,1
IN2019S-G|43163,IN2019S-G|286266-C|1.75,IN2019S-G,1.75,2018-03-04,2,286266-C,2
IN2019S-G|43182,IN2019S-G|290600-B|1.75,IN2019S-G,1.75,2018-03-23,4,290600-B,4
IN2026S|43190,IN2026S|292589A|0,IN2026S,0,2018-03-31,2,292589A,2
IN2034S|43431,IN2034S|337864-A|1.75,IN2034S,1.75,2018-11-27,2,337864-A,2
IN2034S-G|43431,IN2034S-G|337864-A|1.75,IN2034S-G,1.75,2018-11-27,2,337864-A,2
IN2035S|43431,IN2035S|337864-A|1.75,IN2035S,1.75,2018-11-27,2,337864-A,2
IN2035S-G|43431,IN2035S-G|337864-A|1.75,IN2035S-G,1.75,2018-11-27,2,337864-A,2
IN2036S|43431,IN2036S|337864-A|1.75,IN2036S,1.75,2018-11-27,5,337864-A,5
IN2036S-G|43431,IN2036S-G|337864-A|1.75,IN2036S-G,1.75,2018-11-27,5,337864-A,5
IN2039S|43431,IN2039S|337864-A|1.75,IN2039S,1.75,2018-11-27,2,337864-A,2
IN2039S-G|43431,IN2039S-G|337864-A|1.75,IN2039S-G,1.75,2018-11-27,2,337864-A,2
IN2040S|43431,IN2040S|337864-A|1.75,IN2040S,1.75,2018-11-27,5,337864-A,5
IN2040S|43446,IN2040S|341236|2.5,IN2040S,2.5,2018-12-12,2,341236,2
IN2041S-G|43163,IN2041S-G|286266-C|1.75,IN2041S-G,1.75,2018-03-04,2,286266-C,2
IN2041S-G|43178,IN2041S-G|289713|1.75,IN2041S-G,1.75,2018-03-19,4,289713,4
IN2041S-G|43182,IN2041S-G|290600-B|1.75,IN2041S-G,1.75,2018-03-23,5,290600-B,5
IN2042S-G|43163,IN2042S-G|286266-C|1.75,IN2042S-G,1.75,2018-03-04,5,286266-C,5
IN2042S-G|43178,IN2042S-G|289713|1.75,IN2042S-G,1.75,2018-03-19,10,289713,10
IN2042S-G|43182,IN2042S-G|290600-B|1.75,IN2042S-G,1.75,2018-03-23,5,290600-B,5
IN2044S|43365,IN2044S|325137|1.75,IN2044S,1.75,2018-09-22,2,325137,2
IN2046S|43339,IN2046S|321426|2.5,IN2046S,2.5,2018-08-27,4,321426,4
IN2049S-G|43420,IN2049S-G|334640|2.5,IN2049S-G,2.5,2018-11-16,1,334640,1
IN2051S|43431,IN2051S|337864-A|1.75,IN2051S,1.75,2018-11-27,2,337864-A,2
IN2051S|43431,IN2051S|337786|2.5,IN2051S,2.5,2018-11-27,1,337786,1
IN2051S-G|43431,IN2051S-G|337864-A|1.75,IN2051S-G,1.75,2018-11-27,1,337864-A,1
IN2052S|43431,IN2052S|337864-A|1.75,IN2052S,1.75,2018-11-27,1,337864-A,1
IN2052S-G|43431,IN2052S-G|337864-A|1.75,IN2052S-G,1.75,2018-11-27,1,337864-A,1
IN2053S|43431,IN2053S|337864-A|1.75,IN2053S,1.75,2018-11-27,2,337864-A,2
IN2053S|43431,IN2053S|337786|2.5,IN2053S,2.5,2018-11-27,1,337786,1
IN2054S|43431,IN2054S|337864-A|1.75,IN2054S,1.75,2018-11-27,2,337864-A,2
IN2055S|43431,IN2055S|337864-A|1.75,IN2055S,1.75,2018-11-27,2,337864-A,2
IN2055S-G|43431,IN2055S-G|337864-A|1.75,IN2055S-G,1.75,2018-11-27,2,337864-A,2
IN2055S-G|43420,IN2055S-G|334640|2.5,IN2055S-G,2.5,2018-11-16,3,334640,4
IN2057S|43431,IN2057S|337864-A|1.75,IN2057S,1.75,2018-11-27,4,337864-A,4
IN2057S|43339,IN2057S|321426|2.5,IN2057S,2.5,2018-08-27,1,321426,1
IN2057S|43412,IN2057S|333177|2.5,IN2057S,2.5,2018-11-08,1,333177,1
IN2057S-G|43431,IN2057S-G|337864-A|1.75,IN2057S-G,1.75,2018-11-27,4,337864-A,4
IN2057S-G|43446,IN2057S-G|341236|2.5,IN2057S-G,2.5,2018-12-12,5,341236,5
IN2058S|43430,IN2058S|337104|1.75,IN2058S,1.75,2018-11-26,5,337104,5
IN2058S|43431,IN2058S|337864-A|1.75,IN2058S,1.75,2018-11-27,4,337864-A,4
IN2058S|43363,IN2058S|324804|2.5,IN2058S,2.5,2018-09-20,2,324804,2
IN2058S|43431,IN2058S|337786|2.5,IN2058S,2.5,2018-11-27,1,337786,1
IN2058S-G|43431,IN2058S-G|337864-A|1.75,IN2058S-G,1.75,2018-11-27,4,337864-A,4
IN2058S-G|43431,IN2058S-G|337786|2.5,IN2058S-G,2.5,2018-11-27,1,337786,1
IN2059S|43190,IN2059S|292589A|0,IN2059S,0,2018-03-31,2,292589A,2
IN2059S|43272,IN2059S|310818-B|0,IN2059S,0,2018-06-21,2,310818-B,2
IN2059S|43272,IN2059S|310818-B|3.49,IN2059S,3.49,2018-06-21,3,310818-B,3
IN2061S|43190,IN2061S|292571|0,IN2061S,0,2018-03-31,1,292571,1
IN2062S|43242,IN2062S|304948|4.95,IN2062S,4.95,2018-05-22,1,304948,1
IN2062S|43240,IN2062S|304479|5.58,IN2062S,5.58,2018-05-20,2,304479,2
IN2062S-G|43339,IN2062S-G|321426|5,IN2062S-G,5,2018-08-27,1,321426,1
IN2064S|43268,IN2064S|310062|4.63,IN2064S,4.63,2018-06-17,1,310062,1
IN2072S|43365,IN2072S|325137|1.75,IN2072S,1.75,2018-09-22,2,325137,2
IN2072S|43339,IN2072S|321426|2.5,IN2072S,2.5,2018-08-27,4,321426,4
IN2073S|43190,IN2073S|292589A|0,IN2073S,0,2018-03-31,4,292589A,4
IN2073S|43190,IN2073S|292571|2.84,IN2073S,2.84,2018-03-31,1,292571,1
IN2074S|43431,IN2074S|337864-A|1.75,IN2074S,1.75,2018-11-27,2,337864-A,2
IN2075S|43190,IN2075S|292589A|0,IN2075S,0,2018-03-31,1,292589A,1
IN2075S|43190,IN2075S|292571|0,IN2075S,0,2018-03-31,1,292571,1
IN3001|43190,IN3001|292589A|0,IN3001,0,2018-03-31,1,292589A,1
IN3001|43272,IN3001|310818-A|0,IN3001,0,2018-06-21,5,310818-A,5
IN3001|43268,IN3001|310060-A|3.49,IN3001,3.49,2018-06-17,3,310060-A,3
IN3004|43268,IN3004|310060-A|3.49,IN3004,3.49,2018-06-17,2,310060-A,2
IN3005|43268,IN3005|310060-A|0,IN3005,0,2018-06-17,1,310060-A,1
IN3007|43272,IN3007|310818-A|0,IN3007,0,2018-06-21,2,310818-A,2
IN3007|43268,IN3007|310060-A|3.49,IN3007,3.49,2018-06-17,2,310060-A,2
IN3008|43190,IN3008|292589A|0,IN3008,0,2018-03-31,1,292589A,1
IN3008|43199,IN3008|299092|0,IN3008,0,2018-04-09,1,299092,1
IN3008|43268,IN3008|310060-A|3.49,IN3008,3.49,2018-06-17,5,310060-A,5
IN3008|43199,IN3008|299092|9.99,IN3008,9.99,2018-04-09,4,299092,4
IN3013|43272,IN3013|310818-A|0,IN3013,0,2018-06-21,1,310818-A,1
IN3013|43522,IN3013|352283|0,IN3013,0,2019-02-26,1,352283,1
IN3013-G|43272,IN3013-G|310818-A|0,IN3013-G,0,2018-06-21,1,310818-A,1
IN3013-G|43268,IN3013-G|310060-A|3.49,IN3013-G,3.49,2018-06-17,1,310060-A,1
IN3015|43446,IN3015|341236|2.5,IN3015,2.5,2018-12-12,2,341236,2
IN3019|43268,IN3019|310060-A|3.49,IN3019,3.49,2018-06-17,1,310060-A,1
IN3021|43272,IN3021|310818-A|0,IN3021,0,2018-06-21,1,310818-A,1
IN3021|43268,IN3021|310060-A|3.49,IN3021,3.49,2018-06-17,2,310060-A,2
IN3021-G|43272,IN3021-G|310818-A|0,IN3021-G,0,2018-06-21,1,310818-A,1
IN3021-G|43268,IN3021-G|310060-A|3.49,IN3021-G,3.49,2018-06-17,1,310060-A,1
IN3022|43268,IN3022|310060-A|3.49,IN3022,3.49,2018-06-17,1,310060-A,1
IN3022|43272,IN3022|310818-A|3.49,IN3022,3.49,2018-06-21,1,310818-A,1
IN3025|43526,IN3025|354319|4.5,IN3025,4.5,2019-03-02,1,354319,1
IN3026|43268,IN3026|310060-A|3.49,IN3026,3.49,2018-06-17,2,310060-A,2
IN3026|43272,IN3026|310818-A|3.49,IN3026,3.49,2018-06-21,1,310818-A,1
IN3027|43268,IN3027|310060-A|3.49,IN3027,3.49,2018-06-17,1,310060-A,1
IN3028|43268,IN3028|310060-A|3.49,IN3028,3.49,2018-06-17,1,310060-A,1
IN3029|43268,IN3029|310060-A|3.49,IN3029,3.49,2018-06-17,1,310060-A,1
IN3030|43268,IN3030|310060-A|3.49,IN3030,3.49,2018-06-17,1,310060-A,1
IN3031|43268,IN3031|310060-A|0,IN3031,0,2018-06-17,1,310060-A,1
IN3031|43272,IN3031|310818-A|3.49,IN3031,3.49,2018-06-21,1,310818-A,1
IN3032|43268,IN3032|310060-A|3.49,IN3032,3.49,2018-06-17,1,310060-A,1
IN3033|43268,IN3033|310060-A|0,IN3033,0,2018-06-17,1,310060-A,1
IN3037|43268,IN3037|310060-A|0,IN3037,0,2018-06-17,1,310060-A,1
IN3041|43268,IN3041|310060-A|0,IN3041,0,2018-06-17,1,310060-A,1
IN3042|43268,IN3042|310060-A|3.49,IN3042,3.49,2018-06-17,1,310060-A,1
